"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_cassidyb","vote_shares_murphyd","vote_shares_piercea","vote_shares_wenstrupp","vote_shares_perkinsa"
"edison","2020-11-04T06:01:19Z",2020,11,4,6,1,19,1604498479,0,0,0,0,0,0,0
"edison","2020-11-04T02:06:59Z",2020,11,4,2,6,59,1604484419,30353,1,0.543,0.017,0.033,0.007,0.201
"edison","2020-11-04T02:09:05Z",2020,11,4,2,9,5,1604484545,67288,3,0.607,0.019,0.028,0.006,0.172
"edison","2020-11-04T02:10:04Z",2020,11,4,2,10,4,1604484604,108535,5,0.618,0.019,0.028,0.007,0.162
"edison","2020-11-04T02:11:21Z",2020,11,4,2,11,21,1604484681,157644,7,0.616,0.019,0.026,0.007,0.166
"edison","2020-11-04T02:14:55Z",2020,11,4,2,14,55,1604484895,166610,7,0.623,0.021,0.026,0.007,0.16
"edison","2020-11-04T02:18:40Z",2020,11,4,2,18,40,1604485120,170401,7,0.627,0.021,0.026,0.007,0.159
"edison","2020-11-04T02:23:58Z",2020,11,4,2,23,58,1604485438,232795,10,0.627,0.02,0.025,0.007,0.168
"edison","2020-11-04T02:25:06Z",2020,11,4,2,25,6,1604485506,244626,11,0.629,0.021,0.025,0.007,0.167
"edison","2020-11-04T02:30:00Z",2020,11,4,2,30,0,1604485800,245212,11,0.629,0.021,0.025,0.007,0.167
"edison","2020-11-04T02:34:40Z",2020,11,4,2,34,40,1604486080,266401,12,0.641,0.02,0.024,0.007,0.16
"edison","2020-11-04T02:35:15Z",2020,11,4,2,35,15,1604486115,273103,12,0.638,0.02,0.024,0.007,0.161
"edison","2020-11-04T02:39:16Z",2020,11,4,2,39,16,1604486356,279762,12,0.638,0.02,0.024,0.007,0.16
"edison","2020-11-04T02:42:23Z",2020,11,4,2,42,23,1604486543,360000,16,0.604,0.019,0.026,0.008,0.183
"edison","2020-11-04T02:45:42Z",2020,11,4,2,45,42,1604486742,397501,17,0.605,0.019,0.026,0.008,0.181
"edison","2020-11-04T02:46:37Z",2020,11,4,2,46,37,1604486797,397623,17,0.605,0.019,0.026,0.008,0.181
"edison","2020-11-04T02:50:29Z",2020,11,4,2,50,29,1604487029,416148,18,0.606,0.019,0.025,0.007,0.179
"edison","2020-11-04T02:52:14Z",2020,11,4,2,52,14,1604487134,467910,21,0.609,0.019,0.025,0.008,0.174
"edison","2020-11-04T02:54:15Z",2020,11,4,2,54,15,1604487255,591546,26,0.62,0.019,0.025,0.008,0.168
"edison","2020-11-04T02:55:52Z",2020,11,4,2,55,52,1604487352,628292,28,0.62,0.019,0.024,0.007,0.168
"edison","2020-11-04T02:57:22Z",2020,11,4,2,57,22,1604487442,696264,31,0.619,0.019,0.025,0.007,0.169
"edison","2020-11-04T03:03:40Z",2020,11,4,3,3,40,1604487820,795173,35,0.626,0.019,0.024,0.007,0.164
"edison","2020-11-04T03:06:03Z",2020,11,4,3,6,3,1604487963,801441,35,0.625,0.019,0.024,0.007,0.164
"edison","2020-11-04T03:06:25Z",2020,11,4,3,6,25,1604487985,807389,35,0.627,0.019,0.024,0.007,0.164
"edison","2020-11-04T03:10:42Z",2020,11,4,3,10,42,1604488242,879207,39,0.633,0.02,0.024,0.007,0.159
"edison","2020-11-04T03:11:52Z",2020,11,4,3,11,52,1604488312,888841,39,0.632,0.02,0.024,0.007,0.159
"edison","2020-11-04T03:12:55Z",2020,11,4,3,12,55,1604488375,926670,41,0.632,0.02,0.023,0.007,0.161
"edison","2020-11-04T03:16:36Z",2020,11,4,3,16,36,1604488596,933095,41,0.633,0.02,0.023,0.007,0.16
"edison","2020-11-04T03:18:18Z",2020,11,4,3,18,18,1604488698,1007729,44,0.64,0.02,0.023,0.006,0.156
"edison","2020-11-04T03:21:10Z",2020,11,4,3,21,10,1604488870,1043003,46,0.641,0.02,0.023,0.006,0.155
"edison","2020-11-04T03:22:21Z",2020,11,4,3,22,21,1604488941,1097731,48,0.645,0.02,0.022,0.006,0.152
"edison","2020-11-04T03:26:09Z",2020,11,4,3,26,9,1604489169,1125177,49,0.647,0.02,0.022,0.006,0.151
"edison","2020-11-04T03:26:12Z",2020,11,4,3,26,12,1604489172,1129851,50,0.648,0.02,0.022,0.006,0.151
"edison","2020-11-04T03:31:34Z",2020,11,4,3,31,34,1604489494,1179427,52,0.648,0.02,0.022,0.006,0.15
"edison","2020-11-04T03:32:45Z",2020,11,4,3,32,45,1604489565,1184317,52,0.648,0.02,0.022,0.006,0.15
"edison","2020-11-04T03:34:42Z",2020,11,4,3,34,42,1604489682,1253985,55,0.65,0.02,0.022,0.006,0.151
"edison","2020-11-04T03:36:40Z",2020,11,4,3,36,40,1604489800,1284468,56,0.65,0.02,0.021,0.006,0.15
"edison","2020-11-04T03:38:56Z",2020,11,4,3,38,56,1604489936,1412058,62,0.635,0.019,0.023,0.006,0.163
"edison","2020-11-04T03:40:26Z",2020,11,4,3,40,26,1604490026,1426665,63,0.635,0.019,0.023,0.006,0.163
"edison","2020-11-04T03:44:47Z",2020,11,4,3,44,47,1604490287,1495574,66,0.633,0.019,0.023,0.006,0.164
"edison","2020-11-04T03:47:18Z",2020,11,4,3,47,18,1604490438,1503208,66,0.632,0.019,0.023,0.006,0.164
"edison","2020-11-04T03:48:12Z",2020,11,4,3,48,12,1604490492,1519705,67,0.633,0.019,0.023,0.006,0.163
"edison","2020-11-04T03:51:59Z",2020,11,4,3,51,59,1604490719,1543354,68,0.635,0.019,0.023,0.006,0.162
"edison","2020-11-04T03:55:27Z",2020,11,4,3,55,27,1604490927,1580602,69,0.635,0.019,0.023,0.006,0.163
"edison","2020-11-04T03:57:15Z",2020,11,4,3,57,15,1604491035,1584186,70,0.635,0.019,0.023,0.006,0.163
"edison","2020-11-04T03:58:58Z",2020,11,4,3,58,58,1604491138,1602684,70,0.636,0.02,0.023,0.006,0.162
"edison","2020-11-04T04:00:23Z",2020,11,4,4,0,23,1604491223,1609628,71,0.636,0.02,0.023,0.006,0.162
"edison","2020-11-04T04:01:23Z",2020,11,4,4,1,23,1604491283,1657093,73,0.632,0.02,0.023,0.006,0.165
"edison","2020-11-04T04:06:36Z",2020,11,4,4,6,36,1604491596,1679824,74,0.632,0.019,0.023,0.006,0.166
"edison","2020-11-04T04:16:44Z",2020,11,4,4,16,44,1604492204,1692524,74,0.631,0.019,0.023,0.006,0.166
"edison","2020-11-04T04:22:35Z",2020,11,4,4,22,35,1604492555,1761148,77,0.624,0.019,0.024,0.006,0.169
"edison","2020-11-04T04:27:44Z",2020,11,4,4,27,44,1604492864,1784369,78,0.625,0.019,0.024,0.006,0.169
"edison","2020-11-04T04:29:05Z",2020,11,4,4,29,5,1604492945,1786457,79,0.625,0.019,0.024,0.006,0.168
"edison","2020-11-04T04:33:14Z",2020,11,4,4,33,14,1604493194,1787972,79,0.625,0.019,0.024,0.006,0.168
"edison","2020-11-04T04:36:25Z",2020,11,4,4,36,25,1604493385,1808420,79,0.624,0.019,0.024,0.006,0.169
"edison","2020-11-04T04:45:42Z",2020,11,4,4,45,42,1604493942,1809314,80,0.624,0.019,0.024,0.006,0.169
"edison","2020-11-04T04:49:22Z",2020,11,4,4,49,22,1604494162,1809950,80,0.624,0.019,0.024,0.006,0.169
"edison","2020-11-04T04:50:55Z",2020,11,4,4,50,55,1604494255,1827968,80,0.624,0.019,0.024,0.006,0.17
"edison","2020-11-04T05:01:07Z",2020,11,4,5,1,7,1604494867,1829579,80,0.624,0.019,0.024,0.006,0.17
"edison","2020-11-04T05:09:14Z",2020,11,4,5,9,14,1604495354,1858990,82,0.62,0.019,0.024,0.006,0.174
"edison","2020-11-04T05:10:01Z",2020,11,4,5,10,1,1604495401,1880931,83,0.62,0.019,0.024,0.006,0.174
"edison","2020-11-04T05:13:13Z",2020,11,4,5,13,13,1604495593,1882019,83,0.62,0.019,0.024,0.006,0.174
"edison","2020-11-04T05:17:28Z",2020,11,4,5,17,28,1604495848,1882020,83,0.62,0.019,0.024,0.006,0.174
"edison","2020-11-04T05:27:23Z",2020,11,4,5,27,23,1604496443,1883152,83,0.62,0.019,0.024,0.006,0.174
"edison","2020-11-04T05:30:38Z",2020,11,4,5,30,38,1604496638,1901797,84,0.621,0.019,0.024,0.006,0.173
"edison","2020-11-04T05:37:25Z",2020,11,4,5,37,25,1604497045,1998408,88,0.597,0.018,0.026,0.007,0.19
"edison","2020-11-04T05:47:11Z",2020,11,4,5,47,11,1604497631,2024731,89,0.593,0.018,0.027,0.007,0.192
"edison","2020-11-04T06:40:48Z",2020,11,4,6,40,48,1604500848,2070872,91,0.593,0.019,0.027,0.007,0.19
"edison","2020-11-04T23:18:53Z",2020,11,4,23,18,53,1604560733,2070873,91,0.593,0.019,0.027,0.007,0.19
"edison","2020-11-05T02:20:46Z",2020,11,5,2,20,46,1604571646,2070873,96,0.593,0.019,0.027,0.007,0.19
"edison","2020-11-07T11:15:49Z",2020,11,7,11,15,49,1604776549,2070938,96,0.593,0.019,0.027,0.007,0.19
"edison","2020-11-10T11:16:17Z",2020,11,10,11,16,17,1605035777,2071338,96,0.593,0.019,0.027,0.007,0.19
"edison","2020-11-10T19:46:02Z",2020,11,10,19,46,2,1605066362,2071543,96,0.593,0.019,0.027,0.007,0.19
