"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_reedj","vote_shares_watersa"
"edison","2020-11-04T07:02:20Z",2020,11,4,7,2,20,1604502140,0,0,0,0
"edison","2020-11-04T01:14:14Z",2020,11,4,1,14,14,1604481254,2527,0,0.658,0.342
"edison","2020-11-04T01:16:02Z",2020,11,4,1,16,2,1604481362,7107,1,0.644,0.356
"edison","2020-11-04T01:18:01Z",2020,11,4,1,18,1,1604481481,18383,4,0.571,0.429
"edison","2020-11-04T01:22:02Z",2020,11,4,1,22,2,1604481722,38578,7,0.559,0.441
"edison","2020-11-04T01:26:03Z",2020,11,4,1,26,3,1604481963,67441,13,0.553,0.447
"edison","2020-11-04T01:28:01Z",2020,11,4,1,28,1,1604482081,89079,17,0.55,0.45
"edison","2020-11-04T01:32:02Z",2020,11,4,1,32,2,1604482322,116427,22,0.533,0.467
"edison","2020-11-04T01:33:56Z",2020,11,4,1,33,56,1604482436,119132,23,0.532,0.468
"edison","2020-11-04T01:35:06Z",2020,11,4,1,35,6,1604482506,142575,27,0.529,0.471
"edison","2020-11-04T01:36:01Z",2020,11,4,1,36,1,1604482561,151183,29,0.527,0.473
"edison","2020-11-04T01:40:57Z",2020,11,4,1,40,57,1604482857,155789,30,0.526,0.474
"edison","2020-11-04T01:43:59Z",2020,11,4,1,43,59,1604483039,159829,31,0.526,0.474
"edison","2020-11-04T01:45:58Z",2020,11,4,1,45,58,1604483158,162096,31,0.525,0.475
"edison","2020-11-04T01:52:02Z",2020,11,4,1,52,2,1604483522,162291,31,0.525,0.475
"edison","2020-11-04T02:01:57Z",2020,11,4,2,1,57,1604484117,162489,31,0.525,0.475
"edison","2020-11-04T02:22:26Z",2020,11,4,2,22,26,1604485346,162923,31,0.525,0.475
"edison","2020-11-04T02:33:01Z",2020,11,4,2,33,1,1604485981,163255,31,0.525,0.475
"edison","2020-11-04T02:33:33Z",2020,11,4,2,33,33,1604486013,163899,32,0.525,0.475
"edison","2020-11-04T02:34:27Z",2020,11,4,2,34,27,1604486067,164023,32,0.525,0.475
"edison","2020-11-04T03:11:48Z",2020,11,4,3,11,48,1604488308,169967,33,0.533,0.467
"edison","2020-11-04T03:37:16Z",2020,11,4,3,37,16,1604489836,171579,33,0.533,0.467
"edison","2020-11-04T03:37:55Z",2020,11,4,3,37,55,1604489875,184386,35,0.539,0.461
"edison","2020-11-04T03:47:58Z",2020,11,4,3,47,58,1604490478,193190,37,0.541,0.459
"edison","2020-11-04T03:55:15Z",2020,11,4,3,55,15,1604490915,199628,38,0.552,0.448
"edison","2020-11-04T03:56:52Z",2020,11,4,3,56,52,1604491012,230218,44,0.565,0.435
"edison","2020-11-04T04:10:20Z",2020,11,4,4,10,20,1604491820,249683,48,0.57,0.43
"edison","2020-11-04T04:24:39Z",2020,11,4,4,24,39,1604492679,253394,49,0.571,0.429
"edison","2020-11-04T06:00:04Z",2020,11,4,6,0,4,1604498404,311336,60,0.573,0.427
"edison","2020-11-04T06:08:50Z",2020,11,4,6,8,50,1604498930,457231,88,0.661,0.339
"edison","2020-11-04T06:12:55Z",2020,11,4,6,12,55,1604499175,461654,89,0.661,0.339
"edison","2020-11-04T21:13:02Z",2020,11,4,21,13,2,1604553182,479634,92,0.663,0.337
"edison","2020-11-06T21:48:51Z",2020,11,6,21,48,51,1604728131,484305,93,0.663,0.337
"edison","2020-11-10T13:09:07Z",2020,11,10,13,9,7,1605042547,491923,95,0.665,0.335
"edison","2020-11-10T23:02:51Z",2020,11,10,23,2,51,1605078171,492019,95,0.665,0.335
"edison","2020-11-10T23:02:58Z",2020,11,10,23,2,58,1605078178,492083,95,0.665,0.335
"edison","2020-11-13T21:51:01Z",2020,11,13,21,51,1,1605333061,492178,95,0.665,0.335
"ap","2020-11-14T23:27:40.377Z",NA,NA,NA,NA,NA,NA,NA,492178,96,0.665,0.335
"edison","2020-11-24T19:40:55Z",2020,11,24,19,40,55,1606275655,492201,95,0.665,0.335
"edison","2020-11-25T04:38:33Z",2020,11,25,4,38,33,1606307913,493429,95,0.666,0.334
