"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_swearenginp"
"edison","2020-11-04T09:59:44Z",2020,11,4,9,59,44,1604512784,0,0,0
"edison","2020-11-04T00:49:22Z",2020,11,4,0,49,22,1604479762,29856,4,0.475
"edison","2020-11-04T01:03:51Z",2020,11,4,1,3,51,1604480631,33985,4,0.451
"edison","2020-11-04T01:14:22Z",2020,11,4,1,14,22,1604481262,40495,5,0.428
"edison","2020-11-04T01:16:42Z",2020,11,4,1,16,42,1604481402,52886,7,0.409
"edison","2020-11-04T01:18:50Z",2020,11,4,1,18,50,1604481530,69259,9,0.38
"edison","2020-11-04T01:19:32Z",2020,11,4,1,19,32,1604481572,74624,9,0.372
"edison","2020-11-04T01:25:12Z",2020,11,4,1,25,12,1604481912,83580,11,0.372
"edison","2020-11-04T01:26:47Z",2020,11,4,1,26,47,1604482007,87716,11,0.371
"edison","2020-11-04T01:27:05Z",2020,11,4,1,27,5,1604482025,102395,13,0.368
"edison","2020-11-04T01:29:45Z",2020,11,4,1,29,45,1604482185,105279,13,0.364
"edison","2020-11-04T01:34:25Z",2020,11,4,1,34,25,1604482465,118937,15,0.346
"edison","2020-11-04T01:36:23Z",2020,11,4,1,36,23,1604482583,120091,15,0.345
"edison","2020-11-04T01:39:34Z",2020,11,4,1,39,34,1604482774,136186,17,0.332
"edison","2020-11-04T01:41:08Z",2020,11,4,1,41,8,1604482868,139890,18,0.33
"edison","2020-11-04T01:45:50Z",2020,11,4,1,45,50,1604483150,147002,18,0.328
"edison","2020-11-04T01:46:30Z",2020,11,4,1,46,30,1604483190,149238,19,0.326
"edison","2020-11-04T01:47:29Z",2020,11,4,1,47,29,1604483249,158314,20,0.326
"edison","2020-11-04T01:47:51Z",2020,11,4,1,47,51,1604483271,159598,20,0.325
"edison","2020-11-04T01:49:05Z",2020,11,4,1,49,5,1604483345,197055,25,0.328
"edison","2020-11-04T01:49:46Z",2020,11,4,1,49,46,1604483386,228450,29,0.319
"edison","2020-11-04T01:53:20Z",2020,11,4,1,53,20,1604483600,270255,34,0.338
"edison","2020-11-04T01:57:00Z",2020,11,4,1,57,0,1604483820,308965,39,0.339
"edison","2020-11-04T01:58:41Z",2020,11,4,1,58,41,1604483921,309990,39,0.338
"edison","2020-11-04T01:58:49Z",2020,11,4,1,58,49,1604483929,312183,39,0.337
"edison","2020-11-04T01:59:40Z",2020,11,4,1,59,40,1604483980,313867,39,0.336
"edison","2020-11-04T01:59:55Z",2020,11,4,1,59,55,1604483995,321350,40,0.332
"edison","2020-11-04T02:01:10Z",2020,11,4,2,1,10,1604484070,325252,41,0.331
"edison","2020-11-04T02:07:39Z",2020,11,4,2,7,39,1604484459,326639,41,0.33
"edison","2020-11-04T02:08:09Z",2020,11,4,2,8,9,1604484489,384671,48,0.322
"edison","2020-11-04T02:13:19Z",2020,11,4,2,13,19,1604484799,388562,49,0.32
"edison","2020-11-04T02:19:40Z",2020,11,4,2,19,40,1604485180,416554,52,0.313
"edison","2020-11-04T02:20:17Z",2020,11,4,2,20,17,1604485217,483832,61,0.407
"edison","2020-11-04T02:20:24Z",2020,11,4,2,20,24,1604485224,487219,61,0.405
"edison","2020-11-04T02:21:58Z",2020,11,4,2,21,58,1604485318,496531,62,0.403
"edison","2020-11-04T02:22:45Z",2020,11,4,2,22,45,1604485365,501558,63,0.401
"edison","2020-11-04T02:29:04Z",2020,11,4,2,29,4,1604485744,522404,66,0.4
"edison","2020-11-04T02:36:32Z",2020,11,4,2,36,32,1604486192,528025,66,0.397
"edison","2020-11-04T02:39:17Z",2020,11,4,2,39,17,1604486357,535639,67,0.394
"edison","2020-11-04T02:41:31Z",2020,11,4,2,41,31,1604486491,562870,71,0.384
"edison","2020-11-04T02:49:43Z",2020,11,4,2,49,43,1604486983,576677,73,0.38
"edison","2020-11-04T02:50:53Z",2020,11,4,2,50,53,1604487053,591089,74,0.376
"edison","2020-11-04T03:02:28Z",2020,11,4,3,2,28,1604487748,602670,76,0.374
"edison","2020-11-04T03:04:21Z",2020,11,4,3,4,21,1604487861,603204,76,0.373
"edison","2020-11-04T03:05:43Z",2020,11,4,3,5,43,1604487943,604693,76,0.373
"edison","2020-11-04T03:06:03Z",2020,11,4,3,6,3,1604487963,612022,77,0.371
"edison","2020-11-04T03:09:59Z",2020,11,4,3,9,59,1604488199,618421,78,0.369
"edison","2020-11-04T03:14:53Z",2020,11,4,3,14,53,1604488493,624179,79,0.369
"edison","2020-11-04T03:22:50Z",2020,11,4,3,22,50,1604488970,625388,79,0.369
"edison","2020-11-04T03:23:14Z",2020,11,4,3,23,14,1604488994,660558,83,0.359
"edison","2020-11-04T03:28:14Z",2020,11,4,3,28,14,1604489294,663272,83,0.358
"edison","2020-11-04T03:52:40Z",2020,11,4,3,52,40,1604490760,694824,87,0.352
"edison","2020-11-04T03:59:59Z",2020,11,4,3,59,59,1604491199,718534,90,0.347
"edison","2020-11-04T04:10:52Z",2020,11,4,4,10,52,1604491852,731443,92,0.347
"edison","2020-11-04T04:22:09Z",2020,11,4,4,22,9,1604492529,743709,94,0.344
"edison","2020-11-04T04:23:40Z",2020,11,4,4,23,40,1604492620,747339,94,0.343
"edison","2020-11-04T04:40:55Z",2020,11,4,4,40,55,1604493655,759702,96,0.341
"edison","2020-11-04T05:01:12Z",2020,11,4,5,1,12,1604494872,768328,97,0.34
"edison","2020-11-04T05:01:45Z",2020,11,4,5,1,45,1604494905,777546,98,0.338
"edison","2020-11-04T05:11:42Z",2020,11,4,5,11,42,1604495502,796632,99,0.334
"edison","2020-11-04T05:20:44Z",2020,11,4,5,20,44,1604496044,799819,99,0.333
"edison","2020-11-04T05:31:35Z",2020,11,4,5,31,35,1604496695,801861,99,0.333
"edison","2020-11-04T05:53:00Z",2020,11,4,5,53,0,1604497980,816079,99,0.331
"edison","2020-11-04T06:11:53Z",2020,11,4,6,11,53,1604499113,819394,99,0.33
"edison","2020-11-04T06:32:54Z",2020,11,4,6,32,54,1604500374,820543,99,0.33
"edison","2020-11-04T07:43:54Z",2020,11,4,7,43,54,1604504634,825635,99,0.329
"edison","2020-11-04T12:47:58Z",2020,11,4,12,47,58,1604522878,831391,99,0.328
"edison","2020-11-04T15:19:54Z",2020,11,4,15,19,54,1604531994,831536,99,0.328
"edison","2020-11-05T16:36:54Z",2020,11,5,16,36,54,1604623014,769641,99,0.269
"edison","2020-11-09T16:27:49Z",2020,11,9,16,27,49,1604968069,769713,99,0.269
"edison","2020-11-09T17:37:40Z",2020,11,9,17,37,40,1604972260,769745,99,0.269
"edison","2020-11-09T17:54:40Z",2020,11,9,17,54,40,1604973280,769762,99,0.269
"edison","2020-11-09T18:19:41Z",2020,11,9,18,19,41,1604974781,770329,99,0.269
"edison","2020-11-09T18:38:40Z",2020,11,9,18,38,40,1604975920,770342,99,0.269
"edison","2020-11-09T20:13:44Z",2020,11,9,20,13,44,1604981624,771189,99,0.269
"edison","2020-11-09T20:32:43Z",2020,11,9,20,32,43,1604982763,771222,99,0.269
"edison","2020-11-09T21:38:42Z",2020,11,9,21,38,42,1604986722,771629,99,0.269
"edison","2020-11-09T22:09:44Z",2020,11,9,22,9,44,1604988584,771730,99,0.269
"edison","2020-11-09T23:07:43Z",2020,11,9,23,7,43,1604992063,771894,99,0.269
"edison","2020-11-10T13:14:48Z",2020,11,10,13,14,48,1605042888,772152,99,0.269
"edison","2020-11-10T16:07:00Z",2020,11,10,16,7,0,1605053220,772857,99,0.269
"edison","2020-11-10T19:03:48Z",2020,11,10,19,3,48,1605063828,772967,99,0.269
"edison","2020-11-10T21:11:52Z",2020,11,10,21,11,52,1605071512,774370,99,0.27
"edison","2020-11-10T21:37:48Z",2020,11,10,21,37,48,1605073068,774401,99,0.27
"edison","2020-11-12T17:30:50Z",2020,11,12,17,30,50,1605231050,776849,99,0.27
"edison","2020-11-12T20:07:47Z",2020,11,12,20,7,47,1605240467,777070,99,0.27
"edison","2020-11-13T16:19:53Z",2020,11,13,16,19,53,1605313193,778029,99,0.27
"edison","2020-11-17T17:50:54Z",2020,11,17,17,50,54,1605664254,778447,99,0.27
"edison","2020-11-23T20:21:00Z",2020,11,23,20,21,0,1606191660,778566,99,0.27
"edison","2020-11-24T15:30:49Z",2020,11,24,15,30,49,1606260649,778918,99,0.27
